disbursement_date,customer_id,disbursement_amount_vnd,status,product,region
2026-04-03,C001001,4925828,success,BNPL,North
2026-04-03,C001002,13744420,success,CashLoan,South
2026-04-03,C001003,35487980,success,CashLoan,North
2026-04-03,C001004,20914888,success,CashLoan,South
2026-04-03,C001005,18310499,success,AutoLoan,North
2026-04-03,C001006,37589096,success,CashLoan,North
2026-04-03,C001007,56756733,success,CreditLine,North
2026-04-03,C001008,19579159,pending,CreditLine,North
2026-04-03,C001009,10141429,success,CreditLine,Central
2026-04-03,C001010,49486904,success,AutoLoan,South
2026-04-03,C001011,12611614,success,CashLoan,South
2026-04-03,C001012,25574727,success,CreditLine,South
2026-04-03,C001013,17806221,success,CashLoan,South
2026-04-03,C001014,20548167,success,CashLoan,North
2026-04-03,C001015,69719242,success,CreditLine,Central
2026-04-03,C001016,51947702,success,BNPL,Central
2026-04-03,C001017,30355843,failed,CreditLine,South
2026-04-03,C001018,75122403,success,CashLoan,South
2026-04-03,C001019,51893328,success,BNPL,North
2026-04-03,C001020,38594036,success,BNPL,South
2026-04-03,C001021,27969770,pending,CashLoan,North
2026-04-03,C001022,66278799,success,AutoLoan,Central
2026-04-03,C001023,8096522,success,CreditLine,North
2026-04-03,C001024,53468777,success,AutoLoan,North
2026-04-03,C001025,23395772,success,CreditLine,South
2026-04-03,C001026,48013121,success,AutoLoan,Central
2026-04-03,C001027,19887698,success,AutoLoan,North
2026-04-03,C001028,61195226,success,BNPL,South
2026-04-03,C001029,15318614,failed,AutoLoan,South
2026-04-03,C001030,7891633,success,AutoLoan,South
2026-04-03,C001031,22358887,success,CashLoan,South
2026-04-03,C001032,58495580,failed,CreditLine,South
2026-04-03,C001033,29193511,success,AutoLoan,North
2026-04-03,C001034,37936725,failed,CreditLine,South
2026-04-03,C001035,61671089,success,CashLoan,South
2026-04-03,C001036,25980248,success,BNPL,North
2026-04-03,C001037,31791366,success,CashLoan,South
2026-04-03,C001038,27960016,success,CashLoan,Central
2026-04-03,C001039,70661584,success,BNPL,North
2026-04-03,C001040,21547112,success,CashLoan,North
2026-04-03,C001041,59356884,success,BNPL,North
2026-04-03,C001042,53800813,success,BNPL,Central
2026-04-04,C001043,49707731,success,BNPL,South
2026-04-04,C001044,27002154,failed,CreditLine,Central
2026-04-04,C001045,72270284,success,CashLoan,North
2026-04-04,C001046,20301694,success,CashLoan,South
2026-04-04,C001047,45651957,success,BNPL,North
2026-04-04,C001048,8466467,success,CashLoan,North
2026-04-04,C001049,8189825,success,CreditLine,North
2026-04-04,C001050,42590021,success,AutoLoan,North
2026-04-04,C001051,44521012,failed,AutoLoan,North
2026-04-04,C001052,63415695,success,BNPL,North
2026-04-04,C001053,10463672,success,CreditLine,Central
2026-04-04,C001054,34654875,failed,CashLoan,South
2026-04-04,C001055,53316072,success,CashLoan,North
2026-04-04,C001056,34001838,success,CashLoan,North
2026-04-04,C001057,17752435,success,AutoLoan,North
2026-04-04,C001058,35484886,success,AutoLoan,North
2026-04-04,C001059,70335418,success,AutoLoan,South
2026-04-04,C001060,10538972,success,CashLoan,North
2026-04-05,C001061,68349571,success,AutoLoan,Central
2026-04-05,C001062,40064598,success,CashLoan,North
2026-04-05,C001063,32180930,success,CreditLine,Central
2026-04-05,C001064,24964190,failed,AutoLoan,North
2026-04-05,C001065,17622135,success,CashLoan,South
2026-04-05,C001066,59651762,success,CreditLine,North
2026-04-05,C001067,6860959,success,BNPL,North
2026-04-05,C001068,76979975,success,BNPL,North
2026-04-05,C001069,48817703,failed,BNPL,Central
2026-04-05,C001070,12231269,success,BNPL,South
2026-04-05,C001071,48777974,success,CashLoan,Central
2026-04-05,C001072,53617733,success,CreditLine,Central
2026-04-05,C001073,18727958,failed,CreditLine,North
2026-04-05,C001074,23452317,success,CreditLine,Central
2026-04-05,C001075,27345644,pending,CashLoan,North
2026-04-05,C001076,38287985,success,CashLoan,North
2026-04-05,C001077,44397849,success,CreditLine,North
2026-04-05,C001078,74860972,success,BNPL,Central
2026-04-05,C001079,24944029,success,CreditLine,South
2026-04-05,C001080,78756704,success,CashLoan,South
2026-04-05,C001081,65917018,success,CashLoan,North
2026-04-06,C001082,71507878,pending,BNPL,Central
2026-04-06,C001083,24695232,success,CreditLine,North
2026-04-06,C001084,55937278,success,AutoLoan,Central
2026-04-06,C001085,72710909,success,CashLoan,South
2026-04-06,C001086,35615334,success,CashLoan,North
2026-04-06,C001087,28683853,success,CreditLine,North
2026-04-06,C001088,60074779,success,AutoLoan,South
2026-04-06,C001089,3744566,success,BNPL,South
2026-04-06,C001090,5774166,success,BNPL,Central
2026-04-06,C001091,12813304,success,CreditLine,North
2026-04-06,C001092,72217197,success,BNPL,South
2026-04-06,C001093,10915108,pending,AutoLoan,South
2026-04-06,C001094,60709776,success,BNPL,North
2026-04-06,C001095,70869047,success,BNPL,South
2026-04-06,C001096,74185521,success,BNPL,Central
2026-04-06,C001097,15258233,failed,CashLoan,Central
2026-04-06,C001098,70156842,success,BNPL,North
2026-04-06,C001099,65877168,success,CreditLine,Central
2026-04-06,C001100,66181301,success,BNPL,North
2026-04-06,C001101,53822555,success,CreditLine,Central
2026-04-06,C001102,69555176,pending,CreditLine,Central
2026-04-06,C001103,52394093,success,CreditLine,North
2026-04-06,C001104,11881314,success,BNPL,South
2026-04-06,C001105,77115142,success,CashLoan,North
