loan_id,customer_id,product_type,segment,province,origination_date,principal_vnd,interest_rate_pct,term_months,outstanding_vnd,days_past_due,status
LN00001,CU00224,motorbike_loan,salaried,HCMC,2025-09-25,21000000,30.1,6,3439862,138,npl
LN00002,CU00433,personal_loan,self_employed,Da Nang,2024-07-15,199000000,22.1,18,15169335,172,npl
LN00003,CU00471,personal_loan,gig_worker,HCMC,2025-06-01,46000000,20.5,18,20194294,0,current
LN00004,CU00297,motorbike_loan,salaried,Dong Nai,2024-10-23,55000000,24.4,6,20991863,0,current
LN00005,CU00074,salary_advance,gig_worker,Binh Duong,2025-04-17,8000000,16.9,18,4049139,0,current
LN00006,CU00058,motorbike_loan,self_employed,HCMC,2025-11-25,39000000,26.4,12,21960008,0,current
LN00007,CU00470,personal_loan,salaried,HCMC,2025-08-10,36000000,19.7,24,24626208,0,current
LN00008,CU00506,personal_loan,self_employed,HCMC,2024-11-06,87000000,21.2,12,93062,0,current
LN00009,CU00258,personal_loan,salaried,HCMC,2024-08-07,60000000,15.1,24,13890454,0,current
LN00010,CU00465,salary_advance,salaried,Dong Nai,2026-01-14,7000000,27.8,18,5997256,0,current
LN00011,CU00166,personal_loan,self_employed,Binh Duong,2024-12-15,65000000,19.4,36,37583387,0,current
LN00012,CU00315,motorbike_loan,self_employed,Binh Duong,2026-05-11,35000000,16.0,18,33149882,0,current
LN00013,CU00563,personal_loan,self_employed,HCMC,2026-02-20,41000000,23.6,12,34323594,0,current
LN00014,CU00124,personal_loan,self_employed,Da Nang,2025-10-07,158000000,19.6,18,103560922,0,current
LN00015,CU00339,personal_loan,salaried,HCMC,2024-10-21,78000000,15.3,6,24057016,0,current
LN00016,CU00195,personal_loan,self_employed,HCMC,2025-10-04,158000000,24.4,12,61741368,0,current
LN00017,CU00112,personal_loan,salaried,Can Tho,2025-03-17,139000000,31.7,6,52229935,0,current
LN00018,CU00564,personal_loan,salaried,HCMC,2025-03-05,66000000,29.7,6,14701348,0,current
LN00019,CU00169,personal_loan,self_employed,Can Tho,2026-04-26,43000000,22.7,12,39610667,0,current
LN00020,CU00195,motorbike_loan,salaried,Dong Nai,2025-01-31,42000000,31.9,36,25858027,0,current
LN00021,CU00059,personal_loan,self_employed,Dong Nai,2024-11-02,35000000,24.5,36,17123417,0,current
LN00022,CU00635,salary_advance,salaried,HCMC,2024-09-09,9000000,16.2,36,5332947,0,current
LN00023,CU00308,personal_loan,self_employed,Can Tho,2025-06-22,86000000,19.7,18,46146368,0,current
LN00024,CU00071,motorbike_loan,gig_worker,Dong Nai,2026-05-02,54000000,15.3,12,50389407,269,npl
LN00025,CU00107,salary_advance,salaried,Hanoi,2024-11-01,15000000,25.8,6,1992820,0,current
LN00026,CU00271,salary_advance,salaried,HCMC,2026-01-22,7000000,24.9,18,5939983,0,current
LN00027,CU00269,motorbike_loan,gig_worker,HCMC,2026-03-20,55000000,14.8,18,49448375,0,current
LN00028,CU00566,personal_loan,self_employed,Hanoi,2024-10-14,22000000,30.3,36,14490529,0,current
LN00029,CU00417,personal_loan,salaried,HCMC,2026-04-01,111000000,26.0,18,99751426,0,current
LN00030,CU00255,salary_advance,gig_worker,Binh Duong,2025-09-11,3000000,17.2,18,1630568,0,current
LN00031,CU00409,personal_loan,salaried,Binh Duong,2026-04-02,140000000,20.3,12,123919380,0,current
LN00032,CU00183,personal_loan,gig_worker,Dong Nai,2025-07-30,109000000,26.2,36,86822740,224,npl
LN00033,CU00046,motorbike_loan,salaried,Dong Nai,2024-09-08,37000000,19.6,36,15552763,74,overdue
LN00034,CU00128,consumer_durable,gig_worker,HCMC,2024-11-06,11000000,21.8,18,1658116,0,current
LN00035,CU00179,consumer_durable,salaried,Hanoi,2025-03-19,27000000,24.0,12,6259179,0,current
LN00036,CU00453,motorbike_loan,self_employed,Hanoi,2026-05-11,33000000,28.1,36,32209941,0,current
LN00037,CU00241,consumer_durable,self_employed,Hanoi,2025-11-19,14000000,25.9,36,12287157,0,current
LN00038,CU00590,consumer_durable,salaried,HCMC,2026-04-16,20000000,29.3,6,17392778,0,current
LN00039,CU00531,personal_loan,self_employed,Can Tho,2025-09-04,57000000,30.1,6,5052014,0,current
LN00040,CU00454,motorbike_loan,gig_worker,Da Nang,2026-01-07,23000000,26.0,36,20322477,0,current
LN00041,CU00534,motorbike_loan,self_employed,Can Tho,2024-10-27,25000000,22.1,12,1601371,0,current
LN00042,CU00157,motorbike_loan,salaried,HCMC,2025-07-23,32000000,30.1,6,11028812,0,current
LN00043,CU00021,consumer_durable,salaried,HCMC,2024-11-02,6000000,29.0,24,1430806,0,current
LN00044,CU00618,salary_advance,salaried,Binh Duong,2026-05-05,9000000,29.4,24,8694266,0,current
LN00045,CU00131,salary_advance,salaried,Hanoi,2024-12-30,13000000,26.2,24,4807598,0,current
LN00046,CU00267,salary_advance,gig_worker,Da Nang,2024-09-12,4000000,25.6,12,213037,0,current
LN00047,CU00230,motorbike_loan,salaried,HCMC,2025-04-18,41000000,22.5,36,31808204,0,current
LN00048,CU00263,consumer_durable,self_employed,Binh Duong,2026-04-10,5000000,16.7,12,4342146,28,overdue
LN00049,CU00385,consumer_durable,self_employed,HCMC,2026-01-14,8000000,14.5,18,6523877,0,current
LN00050,CU00580,motorbike_loan,salaried,Can Tho,2024-08-07,21000000,19.4,36,9164956,0,current
LN00051,CU00371,consumer_durable,salaried,Hanoi,2025-04-27,25000000,14.2,24,12420707,0,current
LN00052,CU00607,motorbike_loan,self_employed,Binh Duong,2025-02-20,48000000,25.1,36,29802868,0,current
LN00053,CU00507,personal_loan,gig_worker,Binh Duong,2026-02-12,91000000,22.4,36,84423161,0,current
LN00054,CU00088,salary_advance,salaried,HCMC,2025-08-20,14000000,29.8,36,11885788,0,current
LN00055,CU00250,personal_loan,self_employed,Hanoi,2025-09-07,196000000,22.8,6,71104617,0,current
LN00056,CU00124,personal_loan,self_employed,Da Nang,2024-11-14,108000000,20.0,24,47434658,0,current
LN00057,CU00290,consumer_durable,self_employed,Hanoi,2025-11-03,28000000,19.0,36,22606500,0,current
LN00058,CU00130,salary_advance,salaried,Binh Duong,2025-05-07,14000000,23.6,18,7749247,240,npl
LN00059,CU00411,motorbike_loan,salaried,Binh Duong,2026-04-29,33000000,21.9,12,30287952,85,overdue
LN00060,CU00611,motorbike_loan,self_employed,Da Nang,2025-12-07,51000000,31.9,6,9015310,0,current
LN00061,CU00102,consumer_durable,self_employed,HCMC,2025-02-04,23000000,19.5,36,16620391,0,current
LN00062,CU00609,salary_advance,salaried,HCMC,2024-07-04,5000000,23.9,12,1994648,0,current
LN00063,CU00203,motorbike_loan,salaried,HCMC,2025-07-26,44000000,18.2,18,21630125,0,current
LN00064,CU00296,motorbike_loan,self_employed,Da Nang,2025-08-12,19000000,28.3,36,14252200,0,current
LN00065,CU00331,motorbike_loan,salaried,Hanoi,2025-03-25,47000000,21.9,36,35741906,0,current
LN00066,CU00180,motorbike_loan,salaried,HCMC,2024-06-20,52000000,26.1,18,8814062,0,current
LN00067,CU00108,motorbike_loan,gig_worker,Can Tho,2025-11-07,42000000,31.4,24,32944990,0,current
LN00068,CU00414,salary_advance,self_employed,Hanoi,2025-07-20,11000000,14.7,6,3016124,0,current
LN00069,CU00053,salary_advance,salaried,Binh Duong,2024-11-02,6000000,23.3,36,3141838,0,current
LN00070,CU00319,personal_loan,gig_worker,Da Nang,2025-02-17,198000000,31.5,36,122122646,0,current
LN00071,CU00250,motorbike_loan,salaried,Da Nang,2026-01-15,22000000,23.0,18,18071539,62,overdue
LN00072,CU00274,motorbike_loan,salaried,HCMC,2024-09-05,23000000,27.9,24,8189004,0,current
LN00073,CU00557,consumer_durable,salaried,HCMC,2024-09-17,20000000,22.0,24,7084132,0,current
LN00074,CU00391,motorbike_loan,gig_worker,Dong Nai,2025-09-09,39000000,21.4,18,21491299,0,current
LN00075,CU00451,motorbike_loan,gig_worker,Can Tho,2025-12-07,17000000,31.4,18,11628679,0,current
LN00076,CU00083,personal_loan,salaried,Dong Nai,2025-12-15,124000000,22.5,18,98668711,0,current
LN00077,CU00233,salary_advance,gig_worker,Binh Duong,2025-04-17,15000000,22.8,36,11672218,238,npl
LN00078,CU00301,consumer_durable,salaried,Hanoi,2024-08-01,19000000,26.5,6,7250468,0,current
LN00079,CU00247,motorbike_loan,salaried,Hanoi,2025-03-16,58000000,17.1,6,9059790,0,current
LN00080,CU00162,motorbike_loan,salaried,Da Nang,2024-07-27,44000000,14.2,24,5260487,0,current
LN00081,CU00495,personal_loan,gig_worker,Dong Nai,2025-07-09,183000000,22.2,18,106988359,0,current
LN00082,CU00051,personal_loan,salaried,Hanoi,2025-07-13,199000000,21.1,6,34552050,0,current
LN00083,CU00141,salary_advance,gig_worker,Binh Duong,2025-07-22,8000000,17.9,12,2344290,0,current
LN00084,CU00426,motorbike_loan,self_employed,Dong Nai,2025-06-29,17000000,27.2,6,614530,0,current
LN00085,CU00347,personal_loan,self_employed,HCMC,2025-05-02,155000000,18.6,24,72137018,0,current
LN00086,CU00466,consumer_durable,salaried,Hanoi,2025-09-22,17000000,24.0,6,1423362,154,npl
LN00087,CU00336,motorbike_loan,salaried,Binh Duong,2025-04-16,38000000,18.2,6,5782887,0,current
LN00088,CU00505,salary_advance,salaried,HCMC,2025-01-21,9000000,16.1,6,193458,0,current
LN00089,CU00159,personal_loan,self_employed,HCMC,2025-04-09,136000000,26.5,36,95399807,0,current
LN00090,CU00372,salary_advance,gig_worker,Can Tho,2024-08-19,14000000,20.7,24,4017227,0,current
LN00091,CU00094,personal_loan,self_employed,Can Tho,2024-07-20,111000000,17.4,6,2263921,0,current
