entity_id,product_type,channel,entered_date,iso_week,potential_value_vnd,final_stage,drop_transition,drop_reason
E00001,express_application,web,2025-12-01,49,5000000,traffic,traffic_to_submission,not_ready
E00002,express_application,mobile_app,2025-12-22,52,16000000,traffic,traffic_to_submission,abandoned_before_submit
E00003,premium_application,mobile_app,2025-12-24,52,65000000,submitted,submission_to_approval,docs_abandoned
E00004,standard_application,mobile_app,2025-12-02,49,55000000,traffic,traffic_to_submission,no_partner_selected
E00005,standard_application,agent_referral,2025-12-09,50,58000000,submitted,submission_to_approval,docs_abandoned
E00006,premium_application,web,2025-12-15,51,50000000,traffic,traffic_to_submission,abandoned_before_submit
E00007,partner_application,agent_referral,2025-12-08,50,16000000,submitted,submission_to_approval,policy_check
E00008,express_application,agent_referral,2025-12-18,51,12000000,traffic,traffic_to_submission,not_ready
E00009,standard_application,web,2025-12-11,50,24000000,traffic,traffic_to_submission,did_not_submit
E00010,standard_application,web,2025-12-20,51,12500000,completed,,
E00011,partner_application,mobile_app,2025-12-18,51,16000000,traffic,traffic_to_submission,abandoned_before_submit
E00012,standard_application,web,2025-12-26,52,18000000,traffic,traffic_to_submission,abandoned_before_submit
E00013,standard_application,agent_referral,2025-12-30,1,22000000,traffic,traffic_to_submission,did_not_submit
E00014,partner_application,mobile_app,2025-12-15,51,33000000,submitted,submission_to_approval,eligibility_check
E00015,premium_application,web,2025-12-08,50,95000000,traffic,traffic_to_submission,did_not_submit
E00016,express_application,mobile_app,2025-12-17,51,13000000,traffic,traffic_to_submission,abandoned_before_submit
E00017,premium_application,web,2025-12-17,51,60000000,submitted,submission_to_approval,policy_check
E00018,standard_application,web,2025-12-16,51,42000000,traffic,traffic_to_submission,did_not_submit
E00019,express_application,mobile_app,2025-12-21,51,16000000,traffic,traffic_to_submission,did_not_submit
E00020,standard_application,agent_referral,2025-12-22,52,31000000,submitted,submission_to_approval,policy_check
E00021,premium_application,web,2025-12-16,51,168000000,traffic,traffic_to_submission,not_ready
E00022,premium_application,web,2025-12-23,52,158000000,traffic,traffic_to_submission,did_not_submit
E00023,express_application,mobile_app,2025-12-23,52,15000000,traffic,traffic_to_submission,abandoned_before_submit
E00024,express_application,agent_referral,2025-12-02,49,8000000,submitted,submission_to_approval,policy_check
E00025,express_application,mobile_app,2025-12-25,52,5000000,traffic,traffic_to_submission,abandoned_before_submit
E00026,express_application,mobile_app,2025-12-31,1,15000000,traffic,traffic_to_submission,no_partner_selected
E00027,standard_application,mobile_app,2025-12-18,51,44000000,submitted,submission_to_approval,eligibility_check
E00028,express_application,web,2025-12-07,49,6000000,traffic,traffic_to_submission,abandoned_before_submit
E00029,standard_application,agent_referral,2025-12-05,49,16000000,traffic,traffic_to_submission,duplicate_entry
E00030,premium_application,mobile_app,2025-12-10,50,176000000,traffic,traffic_to_submission,abandoned_before_submit
E00031,partner_application,agent_referral,2025-12-16,51,26000000,submitted,submission_to_approval,policy_check
E00032,partner_application,mobile_app,2025-12-10,50,30000000,traffic,traffic_to_submission,did_not_submit
E00033,express_application,web,2025-12-20,51,6000000,traffic,traffic_to_submission,abandoned_before_submit
E00034,standard_application,mobile_app,2025-12-14,50,32000000,traffic,traffic_to_submission,did_not_submit
E00035,express_application,mobile_app,2025-12-03,49,9000000,traffic,traffic_to_submission,did_not_submit
E00036,standard_application,web,2025-12-23,52,31000000,traffic,traffic_to_submission,did_not_submit
E00037,standard_application,mobile_app,2025-12-01,49,23000000,traffic,traffic_to_submission,abandoned_before_submit
E00038,express_application,agent_referral,2025-12-06,49,4000000,traffic,traffic_to_submission,did_not_submit
E00039,express_application,agent_referral,2025-12-31,1,14000000,submitted,submission_to_approval,policy_check
E00040,express_application,web,2025-12-12,50,14000000,submitted,submission_to_approval,policy_check
E00041,express_application,mobile_app,2025-12-22,52,6000000,traffic,traffic_to_submission,did_not_submit
E00042,premium_application,agent_referral,2025-12-02,49,100000000,traffic,traffic_to_submission,did_not_submit
E00043,standard_application,mobile_app,2025-12-24,52,30000000,traffic,traffic_to_submission,no_partner_selected
E00044,express_application,agent_referral,2025-12-16,51,16000000,submitted,submission_to_approval,docs_invalid
E00045,standard_application,agent_referral,2025-12-10,50,21000000,traffic,traffic_to_submission,no_partner_selected
E00046,standard_application,web,2025-12-01,49,58000000,traffic,traffic_to_submission,abandoned_before_submit
E00047,premium_application,agent_referral,2025-12-04,49,165000000,submitted,submission_to_approval,policy_check
E00048,express_application,agent_referral,2025-12-04,49,7000000,submitted,submission_to_approval,docs_abandoned
E00049,premium_application,mobile_app,2025-12-09,50,90000000,traffic,traffic_to_submission,did_not_submit
E00050,standard_application,web,2025-12-30,1,32000000,traffic,traffic_to_submission,abandoned_before_submit
E00051,standard_application,web,2025-12-17,51,30000000,traffic,traffic_to_submission,no_partner_selected
E00052,standard_application,mobile_app,2025-12-26,52,43000000,traffic,traffic_to_submission,abandoned_before_submit
E00053,partner_application,agent_referral,2025-12-02,49,27000000,submitted,submission_to_approval,docs_abandoned
E00054,standard_application,web,2025-12-05,49,48000000,traffic,traffic_to_submission,did_not_submit
E00055,premium_application,mobile_app,2025-12-31,1,146000000,traffic,traffic_to_submission,did_not_submit
E00056,partner_application,agent_referral,2025-12-22,52,30000000,submitted,submission_to_approval,docs_abandoned
E00057,premium_application,agent_referral,2025-12-09,50,82000000,traffic,traffic_to_submission,did_not_submit
E00058,standard_application,mobile_app,2025-12-21,51,35000000,submitted,submission_to_approval,policy_check
E00059,standard_application,web,2025-12-07,49,42000000,traffic,traffic_to_submission,abandoned_before_submit
E00060,express_application,agent_referral,2025-12-17,51,4000000,submitted,submission_to_approval,policy_check
E00061,partner_application,web,2025-12-28,52,16000000,submitted,submission_to_approval,docs_invalid
E00062,standard_application,agent_referral,2025-12-07,49,59000000,traffic,traffic_to_submission,duplicate_entry
E00063,premium_application,mobile_app,2025-12-08,50,144000000,traffic,traffic_to_submission,abandoned_before_submit
E00064,premium_application,agent_referral,2025-12-01,49,141000000,submitted,submission_to_approval,docs_abandoned
E00065,premium_application,agent_referral,2025-12-17,51,165000000,submitted,submission_to_approval,policy_check
